ANTIGUA Y BARBUDA, SAINT JOHNS
ARGENTINA, BUENOS AIRES
BAHAMAS, NASSAU
BARBADOS, BRIDGETOWN
BELICE, BELMOPAN
BOLIVIA, LA PAZ
BRASIL, BRASILIA
CANADA, OTTAWA
CHILE, SANTIAGO
COLOMBIA, BOGOTA
COSTA RICA, SAN JOSE
CUBA, LA HABANA
DOMINICA, ROSEAU
ECUADOR, QUITO
EL SALVADOR, SAN SALVADOR
ESTADOS UNIDOS, WASHINGTON D.C.
GRANADA, SAINT GEORGES
GUATEMALA, CIUDAD DE GUATEMALA
GUYANA, GEORGETOWN
HAITI, PUERTO PRINCIPE
HONDURAS, TEGUCIGALPA
JAMAICA, KINGSTON
MEXICO, CIUDAD DE MEXICO
NICARAGUA, MANAGUA
PANAMA, CIUDAD DE PANAMA
PARAGUAY, ASUNCION
PERU, LIMA
REPUBLICA DOMINICANA, SANTO DOMINGO
SAN CRISTOBAL Y NIEVES, BASSETERRE
SAN VICENTE Y LAS GRANADINAS, KINGSTOWN
SANTA LUCIA, CASTRIES
SURINAM, PARAMARIBO
TRINIDAD Y TOBAGO, PUERTO ESPANA
URUGUAY, MONTEVIDEO
VENEZUELA, CARACAS
