ALBANIA, TIRANA
ALEMANIA, BERLIN
ANDORRA, ANDORRA LA VELLA
AUSTRIA, VIENA
BELGICA, BRUSELAS
BIELORRUSIA, MINSK
BOSNIA Y HERZEGOVINA, SARAJEVO
BULGARIA, SOFIA
CHIPRE, NICOSIA
CROACIA, ZAGREB
DINAMARCA, COPENHAGUE
ESLOVAQUIA, BRATISLAVA
ESLOVENIA, LIUBLIANA
ESPAÑA, MADRID
ESTONIA, TALLINN
FINLANDIA, HELSINKI
FRANCIA, PARIS
GRECIA, ATENAS
HOLANDA, AMSTERDAM
HUNGRIA, BUDAPEST
IRLANDA, DUBLIN
ISLANDIA, REYKJAVIK
ITALIA, ROMA
LETONIA, RIGA
LIECHTENSTEIN, VADUZ
LITUANIA, VILNA
LUXEMBURGO, LUXEMBURGO
MACEDONIA DEL NORTE, SKOPJE
MALTA, VALLETA
MOLDAVIA, CHISINAU
MONACO, MONACO
MONTENEGRO, PODGORICA
NORUEGA, OSLO
POLONIA, VARSOVIA
PORTUGAL, LISBOA
REINO UNIDO, LONDRES
REPUBLICA CHECA, PRAGA
RUMANIA, BUCAREST
RUSIA, MOSCU
SAN MARINO, SAN MARINO
SERBIA, BELGRADO
SUECIA, ESTOCOLMO
SUIZA, BERN
UCRANIA, KIEV
VATICANO, CIUDAD DEL VATICANO
